ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Robert L. Cowles	Scattering 	
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Republican		
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	76	Ward 76	644	25	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	77	Ward 77	918	17	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	78	Ward 78	638	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	79	Ward 79	594	10	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	11	1	41	Milwaukee	City	251	Milwaukee	41251	80	Ward 80	668	13	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	12	1	41	Milwaukee	City	251	Milwaukee	41251	83	Ward 83	619	7	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	95	Ward 95	865	9	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	96	Ward 96	605	7	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	97	Ward 97	719	3	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	98	Ward 98	649	6	
